"Player_name","Team","Level","PA","AVG","wOBA","HRpct","Kpct","BBpct","BABIP","TTO","ID","Diff"
"乙坂　智","DB","Farm",154,0.309,0.388,2.59,17.5,14.9,0.358,35.1,"乙坂　智 DB",-21
"下園　辰哉","DB","Farm",108,0.213,0.277,0,8.3,15.7,0.235,24,"下園　辰哉 DB",97
"下妻　貴寛","E","Farm",131,0.208,0.22,1.53,14.5,2.3,0.232,18.3,"下妻　貴寛 E",120
"下水流　昂","C","Farm",283,0.257,0.341,3.18,20.1,11,0.299,34.3,"下水流　昂 C",185
"加藤　匠馬","D","Farm",199,0.178,0.198,0,20.6,4,0.229,24.7,"加藤　匠馬 D",198
"加藤　翔平","M","Farm",216,0.373,0.42,2.31,10.2,7.9,0.404,20.4,"加藤　翔平 M",-208
"河野　元貴","G","Farm",145,0.234,0.262,0,15.2,9,0.279,24.1,"河野　元貴 G",144
"柿沼　友哉","M","Farm",225,0.251,0.333,0.89,20.9,12,0.328,33.8,"柿沼　友哉 M",213
"柿澤　貴裕","G","Farm",368,0.271,0.32,0.27,13.6,11.4,0.317,25.3,"柿澤　貴裕 G",368
"釜元　豪","H","Farm",774,0.267,0.337,1.29,25.7,8.8,0.362,35.8,"釜元　豪 H",768
"関根　大気","DB","Farm",518,0.288,0.328,1.16,15,8.9,0.336,25.1,"関根　大気 DB",472
"岸田　行倫","G","Farm",160,0.256,0.322,1.88,18.8,10,0.303,30.7,"岸田　行倫 G",160
"岸里　亮佑","F","Farm",414,0.246,0.265,0.24,18.6,5.1,0.303,23.9,"岸里　亮佑 F",400
"岩見　雅紀","E","Farm",385,0.284,0.362,3.64,29.6,8.3,0.387,41.6,"岩見　雅紀 E",361
"岩本　貴裕","C","Farm",388,0.29,0.34,2.57,13.1,6.4,0.312,22.2,"岩本　貴裕 C",330
"岩﨑　恭平","Bs","Farm",330,0.254,0.308,0.3,14.2,11.5,0.304,26,"岩﨑　恭平 Bs",319
"岩﨑　達郎","D","Farm",158,0.226,0.277,0,15.2,10.8,0.273,26,"岩﨑　達郎 D",157
"鬼﨑　裕司","L","Farm",271,0.197,0.253,1.48,15.1,8.1,0.221,24.7,"鬼﨑　裕司 L",271
"亀井　塔生","DB","Farm",159,0.164,0.206,1.25,23.9,2.5,0.206,27.6,"亀井　塔生 DB",159
"吉川　尚輝","G","Farm",419,0.257,0.308,0.95,17.7,6.9,0.311,25.6,"吉川　尚輝 G",52
"吉川　大幾","G","Farm",230,0.238,0.307,0.43,17,15.2,0.293,32.7,"吉川　大幾 G",207
"吉村　裕基","H","Farm",430,0.248,0.324,2.09,22.1,12.6,0.306,36.8,"吉村　裕基 H",411
"吉田　裕太","M","Farm",208,0.214,0.263,1.44,20.2,7.7,0.261,29.3,"吉田　裕太 M",89
"吉田　雄人","Bs","Farm",383,0.204,0.223,0.26,20.3,6,0.259,26.6,"吉田　雄人 Bs",369
"宮本　秀明","DB","Farm",151,0.29,0.313,1.99,24.5,5.3,0.374,31.8,"宮本　秀明 DB",126
"宮本　丈","S","Farm",328,0.265,0.308,1.52,18.9,6.7,0.323,27.1,"宮本　丈 S",280
"宮﨑　祐樹","Bs","Farm",333,0.276,0.333,2.1,15.3,8.4,0.309,25.8,"宮﨑　祐樹 Bs",85
"橋本　到","G","Farm",222,0.286,0.368,1.8,14.4,14.4,0.324,30.7,"橋本　到 G",83
"近藤　弘基","D","Farm",395,0.273,0.322,1.52,17.2,8.9,0.323,27.6,"近藤　弘基 D",358
"金子　一輝","L","Farm",620,0.233,0.265,0.16,13.1,7.3,0.268,20.5,"金子　一輝 L",606
"金子　侑司","L","Farm",111,0.348,0.38,0,11.7,17.1,0.405,28.9,"金子　侑司 L",-565
"金澤　岳","M","Farm",190,0.248,0.338,1.58,17.9,16.8,0.302,36.3,"金澤　岳 M",181
